date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2019-07-09,12.8,13.25,12.8,13.23,13.23,283674,0.0000,1.0,KOD
2019-07-08,13.2,13.2,12.74,12.89,12.89,135547,0.0000,1.0,KOD
2019-07-05,13.56,13.72,12.995,13.22,13.22,152960,0.0000,1.0,KOD
2019-07-03,12.62,13.69,12.33,13.56,13.56,149077,0.0000,1.0,KOD
2019-07-02,12.64,12.967,12.3,12.7,12.7,142066,0.0000,1.0,KOD
2019-07-01,11.75,12.83,11.75,12.58,12.58,226343,0.0000,1.0,KOD
2019-06-28,11.21,11.75,11.03,11.7,11.7,2098266,0.0000,1.0,KOD
2019-06-27,11.53,11.71,11.1976,11.21,11.21,250494,0.0000,1.0,KOD
2019-06-26,11.52,11.73,11.38,11.46,11.46,100284,0.0000,1.0,KOD
2019-06-25,11.55,11.94,11.33,11.4,11.4,257129,0.0000,1.0,KOD
2019-06-24,11.91,12.0447,11.42,11.49,11.49,187126,0.0000,1.0,KOD
2019-06-21,11.62,12.42,11.2284,12.0,12.0,345955,0.0000,1.0,KOD
2019-06-20,12.1,12.31,11.5807,11.99,11.99,236125,0.0000,1.0,KOD
2019-06-19,11.76,12.435,11.705,11.95,11.95,252022,0.0000,1.0,KOD
2019-06-18,12.03,12.1,11.55,11.7,11.7,151399,0.0000,1.0,KOD
2019-06-17,12.0,12.07,11.84,12.0,12.0,145082,0.0000,1.0,KOD
2019-06-14,11.78,12.0,11.43,11.97,11.97,149267,0.0000,1.0,KOD
2019-06-13,11.88,13.0,11.6279,11.95,11.95,271057,0.0000,1.0,KOD
2019-06-12,11.17,12.16,11.17,11.8,11.8,155957,0.0000,1.0,KOD
2019-06-11,11.76,11.76,10.9,11.17,11.17,228348,0.0000,1.0,KOD
2019-06-10,10.34,11.735,10.34,11.6,11.6,388193,0.0000,1.0,KOD
2019-06-07,10.325,10.34,9.83,10.29,10.29,108349,0.0000,1.0,KOD
2019-06-06,10.3,10.49,9.98,10.29,10.29,68351,0.0000,1.0,KOD
2019-06-05,10.4,10.43,10.09,10.22,10.22,116952,0.0000,1.0,KOD
2019-06-04,10.32,10.5,10.15,10.35,10.35,121132,0.0000,1.0,KOD
2019-06-03,9.83,10.31,9.72,10.13,10.13,166791,0.0000,1.0,KOD
2019-05-31,9.34,9.98,8.9461,9.88,9.88,130147,0.0000,1.0,KOD
2019-05-30,10.0,10.1,9.42,9.57,9.57,86932,0.0000,1.0,KOD
2019-05-29,9.48,10.105,9.48,9.94,9.94,78381,0.0000,1.0,KOD
2019-05-28,9.53,9.9,9.42,9.6,9.6,31725,0.0000,1.0,KOD
2019-05-24,10.0,10.13,9.425,9.53,9.53,55505,0.0000,1.0,KOD
2019-05-23,10.21,10.25,9.48,10.0,10.0,129436,0.0000,1.0,KOD
2019-05-22,9.12,10.7065,9.12,10.24,10.24,145901,0.0000,1.0,KOD
2019-05-21,8.96,9.1,8.96,9.1,9.1,95446,0.0000,1.0,KOD
2019-05-20,9.0,9.11,8.8,8.86,8.86,111083,0.0000,1.0,KOD
2019-05-17,8.69,9.407,8.63,9.01,9.01,269801,0.0000,1.0,KOD
2019-05-16,7.89,8.89,7.4252,8.66,8.66,158412,0.0000,1.0,KOD
2019-05-15,7.64,8.3,7.4025,7.72,7.72,201674,0.0000,1.0,KOD
2019-05-14,7.49,7.5,7.42,7.5,7.5,38625,0.0000,1.0,KOD
2019-05-13,7.4,7.5,7.32,7.47,7.47,49009,0.0000,1.0,KOD
2019-05-10,7.39,7.5,7.39,7.49,7.49,59301,0.0000,1.0,KOD
2019-05-09,7.35,7.5,7.31,7.47,7.47,48518,0.0000,1.0,KOD
2019-05-08,7.25,7.5,7.22,7.44,7.44,37035,0.0000,1.0,KOD
2019-05-07,7.36,7.5,7.1207,7.25,7.25,67409,0.0000,1.0,KOD
2019-05-06,7.5,7.5,7.41,7.49,7.49,51709,0.0000,1.0,KOD
2019-05-03,7.45,7.6,7.36,7.55,7.55,75696,0.0000,1.0,KOD
2019-05-02,7.5,7.5,7.2225,7.43,7.43,50604,0.0000,1.0,KOD
2019-05-01,7.37,7.45,7.2,7.45,7.45,27314,0.0000,1.0,KOD
2019-04-30,7.24,7.46,7.1724,7.42,7.42,40899,0.0000,1.0,KOD
2019-04-29,7.41,7.5,7.2,7.3,7.3,20001,0.0000,1.0,KOD
2019-04-26,7.3968,7.49,7.2275,7.41,7.41,15619,0.0000,1.0,KOD
2019-04-25,7.24,7.5,7.24,7.35,7.35,42396,0.0000,1.0,KOD
2019-04-24,7.2,7.5,7.08,7.42,7.42,139893,0.0000,1.0,KOD
2019-04-23,7.163,7.28,7.1,7.2,7.2,28303,0.0000,1.0,KOD
2019-04-22,7.34,7.4473,6.95,7.16,7.16,53839,0.0000,1.0,KOD
2019-04-18,6.98,7.38,6.88,7.35,7.35,48272,0.0000,1.0,KOD
2019-04-17,7.0,7.15,6.92,6.98,6.98,159372,0.0000,1.0,KOD
2019-04-16,6.91,7.1,6.9,7.02,7.02,50526,0.0000,1.0,KOD
2019-04-15,7.1527,7.1527,6.9222,6.98,6.98,35843,0.0000,1.0,KOD
2019-04-12,7.15,7.16,6.8222,7.06,7.06,36114,0.0000,1.0,KOD
2019-04-11,6.94,7.2159,6.9,7.155,7.155,90851,0.0000,1.0,KOD
2019-04-10,7.0,7.12,6.85,6.99,6.99,36418,0.0000,1.0,KOD
2019-04-09,6.95,7.18,6.845,7.06,7.06,27247,0.0000,1.0,KOD
2019-04-08,6.92,7.25,6.65,6.92,6.92,265804,0.0000,1.0,KOD
2019-04-05,6.95,7.15,6.475,6.5,6.5,199449,0.0000,1.0,KOD
2019-04-04,6.32,6.97,6.32,6.85,6.85,77762,0.0000,1.0,KOD
2019-04-03,6.2,6.55,6.01,6.31,6.31,91564,0.0000,1.0,KOD
2019-04-02,6.47,6.47,5.86,6.2,6.2,164219,0.0000,1.0,KOD
2019-04-01,6.53,6.685,6.375,6.45,6.45,82089,0.0000,1.0,KOD
2019-03-29,6.75,6.75,6.4709,6.53,6.53,33458,0.0000,1.0,KOD
2019-03-28,6.55,7.23,6.47,6.62,6.62,32137,0.0000,1.0,KOD
2019-03-27,6.99,7.0099,6.54,6.67,6.67,46401,0.0000,1.0,KOD
2019-03-26,6.43,7.046,6.407,7.0,7.0,62650,0.0000,1.0,KOD
2019-03-25,6.61,6.7,6.26,6.43,6.43,48744,0.0000,1.0,KOD
2019-03-22,6.75,6.97,6.39,6.6,6.6,55068,0.0000,1.0,KOD
2019-03-21,7.0,7.11,6.815,6.83,6.83,36989,0.0000,1.0,KOD
2019-03-20,7.05,7.23,6.99,6.99,6.99,144441,0.0000,1.0,KOD
2019-03-19,7.0,7.15,6.95,7.02,7.02,90071,0.0000,1.0,KOD
2019-03-18,6.97,7.09,6.8039,6.99,6.99,66181,0.0000,1.0,KOD
2019-03-15,7.01,7.18,6.86,6.97,6.97,102601,0.0000,1.0,KOD
2019-03-14,7.01,7.055,6.79,7.0,7.0,88527,0.0000,1.0,KOD
2019-03-13,6.81,7.15,6.725,6.95,6.95,136584,0.0000,1.0,KOD
2019-03-12,6.87,7.09,6.45,6.66,6.66,44384,0.0000,1.0,KOD
2019-03-11,6.65,6.93,6.47,6.78,6.78,94234,0.0000,1.0,KOD
2019-03-08,6.46,6.805,6.35,6.51,6.51,62355,0.0000,1.0,KOD
2019-03-07,6.98,7.0155,6.24,6.47,6.47,108940,0.0000,1.0,KOD
2019-03-06,6.94,7.07,6.81,6.99,6.99,62141,0.0000,1.0,KOD
2019-03-05,7.0,7.095,6.9,6.96,6.96,43189,0.0000,1.0,KOD
2019-03-04,7.07,7.17,6.9,6.99,6.99,141164,0.0000,1.0,KOD
2019-03-01,7.15,7.32,6.91,7.07,7.07,198651,0.0000,1.0,KOD
2019-02-28,7.0,7.3143,6.94,7.0,7.0,187494,0.0000,1.0,KOD
2019-02-27,6.91,7.2367,6.9,6.99,6.99,218179,0.0000,1.0,KOD
2019-02-26,6.93,7.12,6.88,6.98,6.98,59136,0.0000,1.0,KOD
2019-02-25,7.05,7.4,6.83,6.89,6.89,69630,0.0000,1.0,KOD
2019-02-22,6.9,7.27,6.9,7.0,7.0,53664,0.0000,1.0,KOD
2019-02-21,7.08,7.1,6.75,6.76,6.76,45177,0.0000,1.0,KOD
2019-02-20,7.13,8.27,6.9,7.0,7.0,117972,0.0000,1.0,KOD
2019-02-19,6.95,7.6752,6.77,6.83,6.83,84318,0.0000,1.0,KOD
2019-02-15,6.9,7.05,6.85,6.85,6.85,114280,0.0000,1.0,KOD
2019-02-14,6.91,7.05,6.74,6.76,6.76,56041,0.0000,1.0,KOD
2019-02-13,6.99,8.0,6.745,6.9,6.9,31429,0.0000,1.0,KOD
2019-02-12,6.98,7.2796,6.8027,7.0,7.0,61617,0.0000,1.0,KOD
2019-02-11,7.05,7.19,6.52,6.75,6.75,37324,0.0000,1.0,KOD
2019-02-08,7.14,7.44,6.86,7.0,7.0,24098,0.0000,1.0,KOD
2019-02-07,7.5,8.1434,7.13,7.15,7.15,19050,0.0000,1.0,KOD
2019-02-06,7.5,8.22,7.47,7.5,7.5,79326,0.0000,1.0,KOD
2019-02-05,7.32,7.8497,7.2001,7.5,7.5,22568,0.0000,1.0,KOD
2019-02-04,7.59,7.99,7.32,7.5,7.5,36313,0.0000,1.0,KOD
2019-02-01,7.34,8.03,7.34,7.86,7.86,20864,0.0000,1.0,KOD
2019-01-31,8.0,8.14,7.5,7.68,7.68,19478,0.0000,1.0,KOD
2019-01-30,7.91,8.115,7.91,7.99,7.99,12768,0.0000,1.0,KOD
2019-01-29,8.15,8.21,7.94,7.99,7.99,18905,0.0000,1.0,KOD
2019-01-28,8.0,8.4995,8.0,8.13,8.13,10691,0.0000,1.0,KOD
2019-01-25,8.14,8.54,7.8,8.0,8.0,13123,0.0000,1.0,KOD
2019-01-24,7.9,8.4758,7.6,7.86,7.86,26482,0.0000,1.0,KOD
2019-01-23,8.15,8.59,7.74,7.92,7.92,15929,0.0000,1.0,KOD
2019-01-22,8.47,8.83,8.13,8.19,8.19,53743,0.0000,1.0,KOD
2019-01-18,8.43,8.88,8.37,8.5,8.5,65591,0.0000,1.0,KOD
2019-01-17,8.57,8.6245,8.11,8.39,8.39,12116,0.0000,1.0,KOD
2019-01-16,8.4,8.77,8.3449,8.61,8.61,100450,0.0000,1.0,KOD
2019-01-15,8.62,8.62,8.15,8.39,8.39,34241,0.0000,1.0,KOD
2019-01-14,8.8931,8.8931,8.2812,8.6,8.6,29173,0.0000,1.0,KOD
2019-01-11,9.05,9.3644,8.5101,9.0,9.0,28084,0.0000,1.0,KOD
2019-01-10,9.37,10.0,8.7,9.08,9.08,18541,0.0000,1.0,KOD
2019-01-09,8.91,9.7,8.78,9.44,9.44,50284,0.0000,1.0,KOD
2019-01-08,8.24,8.95,7.72,8.93,8.93,56921,0.0000,1.0,KOD
2019-01-07,7.61,8.25,7.56,8.16,8.16,24920,0.0000,1.0,KOD
2019-01-04,8.07,8.07,7.08,7.55,7.55,73589,0.0000,1.0,KOD
2019-01-03,7.32,7.95,6.84,7.93,7.93,66730,0.0000,1.0,KOD
2019-01-02,7.06,7.86,6.5526,7.34,7.34,66545,0.0000,1.0,KOD
2018-12-31,6.65,7.32,6.5,7.1,7.1,62539,0.0000,1.0,KOD
2018-12-28,7.23,7.25,6.5,6.62,6.62,157712,0.0000,1.0,KOD
2018-12-27,8.06,8.19,7.035,7.25,7.25,93176,0.0000,1.0,KOD
2018-12-26,7.42,9.34,6.64,8.22,8.22,126481,0.0000,1.0,KOD
2018-12-24,6.41,7.67,6.15,7.34,7.34,60623,0.0000,1.0,KOD
2018-12-21,6.55,6.55,5.65,6.11,6.11,930906,0.0000,1.0,KOD
2018-12-20,6.51,6.87,5.95,6.52,6.52,164460,0.0000,1.0,KOD
2018-12-19,6.76,6.93,6.55,6.68,6.68,106153,0.0000,1.0,KOD
2018-12-18,6.75,8.0085,6.75,6.82,6.82,100497,0.0000,1.0,KOD
2018-12-17,7.1,7.3,6.5,6.66,6.66,53311,0.0000,1.0,KOD
2018-12-14,7.65,7.65,6.74,7.01,7.01,51936,0.0000,1.0,KOD
2018-12-13,8.07,8.26,7.51,7.71,7.71,30290,0.0000,1.0,KOD
2018-12-12,8.56,8.56,7.775,8.23,8.23,38434,0.0000,1.0,KOD
2018-12-11,8.46,8.75,8.205,8.66,8.66,29658,0.0000,1.0,KOD
2018-12-10,10.0,10.0,8.36,8.45,8.45,35732,0.0000,1.0,KOD
2018-12-07,9.33,10.5,8.2201,10.0,10.0,142863,0.0000,1.0,KOD
2018-12-06,7.54,9.315,7.2501,9.3,9.3,87360,0.0000,1.0,KOD
2018-12-04,7.93,8.28,7.38,7.6,7.6,61670,0.0000,1.0,KOD
2018-12-03,9.37,9.68,7.95,7.95,7.95,106526,0.0000,1.0,KOD
2018-11-30,9.07,9.45,8.65,9.25,9.25,37242,0.0000,1.0,KOD
2018-11-29,9.23,9.23,8.89,9.01,9.01,45464,0.0000,1.0,KOD
2018-11-28,9.35,9.4,8.7401,9.22,9.22,32447,0.0000,1.0,KOD
2018-11-27,9.32,9.56,9.04,9.38,9.38,27455,0.0000,1.0,KOD
2018-11-26,9.1203,9.4,9.0,9.28,9.28,90816,0.0000,1.0,KOD
2018-11-23,9.7,9.7,9.05,9.5,9.5,7965,0.0000,1.0,KOD
2018-11-21,7.8,9.77,7.8,9.77,9.77,39209,0.0000,1.0,KOD
2018-11-20,8.04,8.935,7.76,7.77,7.77,113176,0.0000,1.0,KOD
2018-11-19,9.6,9.6,8.72,8.79,8.79,57348,0.0000,1.0,KOD
2018-11-16,8.54,9.69,8.26,9.56,9.56,74958,0.0000,1.0,KOD
2018-11-15,8.59,9.28,8.59,8.7,8.7,37865,0.0000,1.0,KOD
2018-11-14,8.17,9.4009,8.17,8.64,8.64,90720,0.0000,1.0,KOD
2018-11-13,8.0,8.265,8.0,8.15,8.15,50963,0.0000,1.0,KOD
2018-11-12,8.64,8.64,7.82,8.0,8.0,53387,0.0000,1.0,KOD
2018-11-09,8.36,9.0,8.36,8.64,8.64,68066,0.0000,1.0,KOD
2018-11-08,8.71,8.99,8.7,8.85,8.85,32974,0.0000,1.0,KOD
2018-11-07,8.96,9.105,8.14,8.82,8.82,88736,0.0000,1.0,KOD
2018-11-06,9.3,9.86,8.98,9.13,9.13,54302,0.0000,1.0,KOD
2018-11-05,9.82,10.03,9.39,9.39,9.39,59953,0.0000,1.0,KOD
2018-11-02,10.0,10.07,9.56,9.79,9.79,45062,0.0000,1.0,KOD
2018-11-01,9.9,10.13,9.71,9.99,9.99,172189,0.0000,1.0,KOD
2018-10-31,9.94,9.99,9.75,9.91,9.91,152746,0.0000,1.0,KOD
2018-10-30,9.73,9.99,9.325,9.88,9.88,146831,0.0000,1.0,KOD
2018-10-29,9.99,10.2,9.33,9.75,9.75,93875,0.0000,1.0,KOD
2018-10-26,9.59,10.13,9.4573,9.98,9.98,37467,0.0000,1.0,KOD
2018-10-25,9.25,9.94,9.25,9.56,9.56,42866,0.0000,1.0,KOD
2018-10-24,9.64,9.95,9.25,9.27,9.27,134393,0.0000,1.0,KOD
2018-10-23,9.75,9.99,9.5,9.61,9.61,42626,0.0000,1.0,KOD
2018-10-22,9.76,10.1273,9.6,9.88,9.88,75516,0.0000,1.0,KOD
2018-10-19,9.85,9.9367,9.28,9.7,9.7,50498,0.0000,1.0,KOD
2018-10-18,9.84,9.93,9.501,9.74,9.74,118871,0.0000,1.0,KOD
2018-10-17,9.85,9.945,9.81,9.89,9.89,22333,0.0000,1.0,KOD
2018-10-16,10.2,10.2,9.9,9.97,9.97,34365,0.0000,1.0,KOD
2018-10-15,10.05,10.05,9.9,9.98,9.98,28175,0.0000,1.0,KOD
2018-10-12,10.1,10.1,9.9,10.05,10.05,52096,0.0000,1.0,KOD
2018-10-11,9.95,9.99,9.66,9.9,9.9,30689,0.0000,1.0,KOD
2018-10-10,9.96,10.0,9.65,9.7,9.7,79973,0.0000,1.0,KOD
2018-10-09,9.9,9.994,9.61,9.9,9.9,44275,0.0000,1.0,KOD
2018-10-08,10.5,10.5,9.25,10.02,10.02,117958,0.0000,1.0,KOD
2018-10-05,10.35,10.79,10.1,10.43,10.43,192292,0.0000,1.0,KOD
2018-10-04,10.0,11.1,9.72,10.16,10.16,2409436,0.0000,1.0,KOD
